feature,log_prob
prize,-3.5619248253126696
claim,-3.5619248253126696
win brand,-3.9496473431106014
yes,-3.9496473431106014
selected,-3.9496473431106014
reply,-3.9496473431106014
reply yes,-3.9496473431106014
win,-3.9496473431106014
yes claim,-3.9496473431106014
cash prize,-3.9496473431106014
congratulation,-3.9496473431106014
claim prize,-3.9496473431106014
click claim,-3.9496473431106014
congratulation selected,-3.9496473431106014
click,-3.9496473431106014
brand new,-3.9496473431106014
brand,-3.9496473431106014
phone,-3.9496473431106014
cash,-3.9496473431106014
new phone,-3.9496473431106014
new,-3.9496473431106014
prize reply,-3.9496473431106014
phone click,-3.9496473431106014
selected cash,-3.9496473431106014
rich,-4.020800697567692
invest double,-4.020800697567692
invest,-4.020800697567692
get,-4.020800697567692
double money,-4.020800697567692
day,-4.020800697567692
